orden_base;orden_pagina;orden_en_pagina;tipo_registro;id_registro;id_padre;seccion;pagina;Marca;ruta_relativa;area_principal;subarea_1;subarea_2;nombre_recurso;grupo_modal;tipo_activo;formatos_disponibles;cantidad_formatos;descripcion_clara;tiene_descargas;cantidad_items_descargables_pagina;cantidad_opciones_descarga_pagina;notas;redundancia_detectada;detalle_redundancia;palabras_clave;texto_indexacion
1;1;0;pagina;P-001;;Inicio;Inicio;;index.html;;;;Inicio;;Página;;0;"Landing principal que centraliza accesos a Ecosistema, Templates, Audiovisuales, Recursos y Toolkits. Bloques principales: Templates; Audiovisuales; Recursos; Toolkits.";No;0;0;;No;;"Inicio | index.html | Templates; Audiovisuales; Recursos; Toolkits | página";"Sección: Inicio | Página: Inicio | Ruta: index.html | Descripción: Landing principal que centraliza accesos a Ecosistema, Templates, Audiovisuales, Recursos y Toolkits. | Bloques: Templates; Audiovisuales; Recursos; Toolkits | Tiene descargas: No"
2;2;0;pagina;P-002;;Ecosistema;Personal;Personal;brands/personal.html;;;;Personal;;Página;;0;"Hub de marca Personal con logos descargables, paleta cromática, manual de marca, redes y sitios web. Bloques principales: Logos; Paleta cromática; Manual de Marca; Redes.";Sí;13;61;;No;;"Ecosistema | Personal | brands/personal.html | Logos; Paleta cromática; Manual de Marca; Redes | página | descargas";"Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Descripción: Hub de marca Personal con logos descargables, paleta cromática, manual de marca, redes y sitios web. | Bloques: Logos; Paleta cromática; Manual de Marca; Redes | Tiene descargas: Sí | Cantidad de ítems descargables: 13 | Cantidad de opciones de descarga: 61"
3;2;1;descargable;D-002-001;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;;Isotipo (blanco, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos | Recurso: Isotipo (blanco, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (blanco, fondo marca).;Sí;;;;No;;Ecosistema | Personal | Logos | Isotipo (blanco, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Nombre del recurso: Isotipo (blanco, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (blanco, fondo marca) en formato .ai.
4;2;2;descargable;D-002-002;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;;Isotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos | Recurso: Isotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Personal | Logos | Isotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Nombre del recurso: Isotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (blanco, fondo negro) en formato .ai.
5;2;3;descargable;D-002-003;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;;Isotipo (color, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos | Recurso: Isotipo (color, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (color, fondo blanco).;Sí;;;;No;;Ecosistema | Personal | Logos | Isotipo (color, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Nombre del recurso: Isotipo (color, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (color, fondo blanco) en formato .ai.
6;2;4;descargable;D-002-004;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;;Isotipo (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos | Recurso: Isotipo (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Isotipo (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Personal | Logos | Isotipo (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Nombre del recurso: Isotipo (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Isotipo (negro, fondo blanco) en formato .ai.
7;2;5;descargable;D-002-005;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;;Logotipo (blanco, fondo marca);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos | Recurso: Logotipo (blanco, fondo marca) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (blanco, fondo marca).;Sí;;;;No;;Ecosistema | Personal | Logos | Logotipo (blanco, fondo marca) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Nombre del recurso: Logotipo (blanco, fondo marca) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (blanco, fondo marca) en formato .ai.
8;2;6;descargable;D-002-006;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;;Logotipo (blanco, fondo negro);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos | Recurso: Logotipo (blanco, fondo negro) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (blanco, fondo negro).;Sí;;;;No;;Ecosistema | Personal | Logos | Logotipo (blanco, fondo negro) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Nombre del recurso: Logotipo (blanco, fondo negro) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (blanco, fondo negro) en formato .ai.
9;2;7;descargable;D-002-007;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;;Logotipo (color, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos | Recurso: Logotipo (color, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (color, fondo blanco).;Sí;;;;No;;Ecosistema | Personal | Logos | Logotipo (color, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Nombre del recurso: Logotipo (color, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (color, fondo blanco) en formato .ai.
10;2;8;descargable;D-002-008;P-002;Ecosistema;Personal;Personal;brands/personal.html;Logos;;;Logotipo (negro, fondo blanco);vectorial;Activos vectoriales / identidad;ai, svg, pdf, png, jpg;5;Personal | Logos | Recurso: Logotipo (negro, fondo blanco) | Modal / grupo: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Detalle: Logos: Descarga del activo de identidad Logotipo (negro, fondo blanco).;Sí;;;;No;;Ecosistema | Personal | Logos | Logotipo (negro, fondo blanco) | vectorial | Activos vectoriales / identidad | ai, svg, pdf, png, jpg | brands/personal.html | descargable | descarga;Sección: Ecosistema | Página: Personal | Ruta: brands/personal.html | Área principal: Logos | Nombre del recurso: Logotipo (negro, fondo blanco) | Grupo modal: vectorial | Tipo de activo: Activos vectoriales / identidad | Formatos disponibles: ai, svg, pdf, png, jpg | Logos: Descarga del activo de identidad Logotipo (negro, fondo blanco) en formato .ai.
